scenario,torque_loss_pct,source_x,source_y,t1,t2,t3,t4,t5,t6
intact,0,0.045062,0.254677,51.434315,54.986344,71.818473,51.939731,24.333046,10.215768
intact,0,0.138502,0.072614,31.039735,14.880348,35.710409,55.408309,43.778489,53.577197
intact,0,0.099549,0.170597,41.230927,34.046300,53.507567,47.389743,27.716685,31.599857
intact,0,0.065961,0.242720,49.970097,52.671409,68.017705,49.921655,21.518108,17.911207
intact,0,0.217215,0.207060,61.762727,43.978338,45.427244,24.596093,23.006155,46.555159
intact,0,0.132344,0.183100,46.173964,35.611612,50.434818,40.686732,24.816346,36.066885
intact,0,0.171865,0.188960,52.906326,38.774972,44.089490,33.843702,21.462440,40.404866
intact,0,0.041956,0.128110,28.472251,34.155148,56.920200,60.996975,40.638105,34.170705
intact,0,0.030820,0.148438,29.649531,38.384400,62.634338,62.391995,36.270404,31.237204
intact,0,0.105764,0.057576,24.156082,14.935406,42.134199,60.064666,48.694224,53.489020
intact,0,0.046885,0.172788,34.225518,41.719359,61.662033,57.503558,32.180086,27.929205
intact,0,0.064354,0.260531,54.740804,55.082392,70.492633,48.056006,17.997187,14.951138
intact,0,0.171076,0.110186,40.545364,22.820132,34.918794,44.832954,38.071060,52.587721
intact,0,0.173638,0.025929,34.369075,6.195071,26.001268,61.204060,55.029120,66.218120
intact,0,0.269225,0.145399,62.052595,38.447954,30.278123,33.854517,38.841578,60.087964
intact,0,0.223511,0.041510,47.070858,16.426558,17.513174,55.223455,52.145698,67.092898
intact,0,0.146531,0.147584,39.993128,28.730779,43.023045,43.783118,30.767404,40.872965
intact,0,0.263835,0.168649,60.316226,40.748807,34.024891,27.707082,35.464800,59.082911
intact,0,0.143107,0.089414,34.508904,18.165002,36.646621,51.816537,41.960209,51.118789
intact,0,0.106208,0.155375,38.461709,31.891909,50.198808,48.096049,30.104427,36.716323
intact,0,0.134117,0.025619,25.315330,4.732162,32.087752,61.791896,54.289772,61.830436
intact,0,0.234836,0.253002,68.753601,53.567085,53.341020,17.396526,19.327729,49.252116
intact,0,0.056465,0.164049,34.791103,36.930866,58.132635,54.301890,32.115749,29.084018
intact,0,0.048230,0.194782,40.936512,45.674103,62.282088,54.967190,28.236023,23.623642
intact,0,0.093121,0.191450,42.448034,38.113207,57.302784,46.120640,23.975994,27.534169
intact,0,0.209019,0.219848,60.015996,45.954362,47.396851,24.578942,20.269189,46.092556
intact,0,0.048013,0.258163,52.175169,54.038760,73.218675,50.755870,23.161586,13.120005
intact,0,0.209268,0.111642,47.305936,25.628476,30.723404,43.891386,39.561877,56.470669
intact,0,0.079856,0.029727,18.118110,14.391060,44.761552,69.690962,56.159260,55.531256
intact,0,0.164262,0.116440,38.679583,21.389003,34.650270,45.200607,36.529488,51.202325
intact,0,0.235745,0.230145,66.997650,48.157827,48.137063,18.575366,21.835247,49.360738
intact,0,0.102456,0.267754,57.956550,54.049175,67.611792,38.889750,11.495875,24.079824
intact,0,0.095639,0.153915,36.464786,34.079770,51.259224,50.821970,31.117583,34.751001
intact,0,0.086551,0.263371,54.666173,54.611568,66.949632,43.979402,15.737857,19.163044
intact,0,0.062798,0.031677,13.780748,19.009396,47.552873,72.562954,54.596085,54.779165
intact,0,0.133125,0.278018,59.658564,54.210799,66.214768,34.558465,4.823016,25.483087
intact,0,0.251836,0.214638,63.214297,46.970754,46.415537,20.037352,26.016541,53.647059
intact,0,0.251606,0.252296,69.701637,54.100149,51.478582,13.504535,23.240259,51.562323
intact,0,0.154903,0.102142,37.777834,19.763462,36.386397,50.700743,38.613689,49.368830
intact,0,0.220723,0.192032,59.849033,40.736904,42.954305,26.346948,27.268902,49.274481
intact,0,0.117151,0.044561,25.326194,12.636789,37.278349,61.886472,51.059869,56.656701
intact,0,0.214165,0.088240,44.760487,22.458045,24.081421,46.846831,41.859370,59.449366
intact,0,0.263571,0.082652,53.558913,27.266387,18.312496,43.896636,48.792914,68.166475
intact,0,0.051917,0.236089,48.549448,50.122049,69.200148,51.899263,23.798573,17.024635
intact,0,0.059854,0.066610,18.206585,24.452188,49.755457,66.667880,49.285385,47.156324
intact,0,0.175840,0.247386,59.457896,48.857591,55.288410,27.303939,11.774453,35.942915
intact,0,0.071073,0.100684,25.548651,26.325947,49.858294,60.054372,43.423258,42.509684
intact,0,0.222125,0.272675,68.891397,56.342529,56.977487,15.606229,15.615427,43.305112
intact,0,0.150193,0.057413,33.494633,12.730685,31.833939,57.386435,46.107423,55.907172
intact,0,0.023623,0.079711,16.333718,28.810846,58.242748,72.682922,49.616483,43.473032
intact,0,0.054274,0.196191,40.947437,45.270946,61.665585,53.599812,30.062946,21.776342
intact,0,0.128950,0.085618,29.676077,17.209998,37.735693,55.664246,43.324183,48.260072
intact,0,0.051676,0.151646,32.557195,35.568810,59.467584,57.225177,34.959168,31.960508
intact,0,0.200508,0.171090,53.479318,36.126092,37.897484,33.105698,26.655970,47.909696
intact,0,0.071942,0.229072,46.596993,48.847668,63.841605,46.484019,21.807735,20.446923
intact,0,0.206006,0.212136,58.526543,45.332050,45.964741,25.765362,21.108075,44.172531
intact,0,0.054075,0.052176,15.499697,21.305903,49.868152,71.189812,52.107638,48.318215
intact,0,0.261166,0.123370,59.378767,35.762685,25.462315,34.232817,41.429654,62.771166
intact,0,0.098247,0.147032,35.177163,30.061457,50.508621,51.161910,30.802754,37.059428
intact,0,0.192345,0.268462,68.103681,54.528172,57.511283,22.293956,11.175021,37.251952
intact,0,0.094476,0.260450,55.575588,52.870109,68.202752,41.684778,15.301816,19.380307
intact,0,0.026463,0.164351,33.880939,41.440046,62.953722,61.242199,37.906820,27.317361
intact,0,0.184834,0.047533,36.477580,11.768517,24.015629,55.156393,50.890089,60.873212
intact,0,0.056488,0.128970,26.543970,32.342781,54.588492,56.949727,39.769864,36.295853
intact,0,0.271220,0.174971,63.838530,41.255101,36.300238,26.009051,37.211668,60.150477
intact,0,0.262586,0.229134,70.088132,50.893010,47.250436,16.652334,27.858212,53.874795
intact,0,0.141519,0.224038,52.563059,44.360688,55.675921,36.647377,14.827851,31.698637
intact,0,0.024638,0.048377,11.172044,26.628849,56.868008,72.350739,55.397722,49.782759
intact,0,0.144661,0.203361,47.592646,39.722606,50.265242,36.388037,20.470203,34.549191
intact,0,0.235651,0.227172,64.433351,48.499605,48.271226,18.460698,21.574996,49.888237
intact,0,0.080487,0.158000,35.242317,35.170604,54.078928,52.989371,30.585224,32.632710
