source_x,source_y,pred_x,pred_y,error_mm,scenario,torque_loss_pct
0.130278,0.165480,0.120217,0.149566,18.8282,full_loose,100.0
0.168988,0.129965,0.194048,0.129970,25.0593,full_loose,100.0
0.197800,0.187224,0.186193,0.190093,11.9565,full_loose,100.0
0.136414,0.161550,0.133679,0.158603,4.0208,full_loose,100.0
0.116645,0.031872,0.125645,0.062979,32.3826,full_loose,100.0
0.154272,0.177850,0.169185,0.184334,16.2615,full_loose,100.0
0.155979,0.150457,0.159002,0.169938,19.7145,full_loose,100.0
0.161684,0.124267,0.142869,0.113171,21.8432,full_loose,100.0
0.146446,0.175497,0.177626,0.184952,32.5821,full_loose,100.0
0.136367,0.173354,0.114735,0.191839,28.4545,full_loose,100.0
0.136071,0.149023,0.136067,0.158881,9.8580,full_loose,100.0
0.163157,0.136818,0.176517,0.145294,15.8215,full_loose,100.0
0.174942,0.148568,0.188023,0.154473,14.3521,full_loose,100.0
0.127728,0.166931,0.105419,0.163111,22.6331,full_loose,100.0
0.144792,0.151589,0.150451,0.159581,9.7924,full_loose,100.0
0.157819,0.140617,0.146642,0.141362,11.2018,full_loose,100.0
0.173234,0.131483,0.203954,0.130060,30.7528,full_loose,100.0
0.136762,0.145230,0.120128,0.157117,20.4445,full_loose,100.0
0.164213,0.175079,0.171584,0.181541,9.8020,full_loose,100.0
0.164613,0.147402,0.170702,0.140623,9.1119,full_loose,100.0
0.263835,0.168649,0.240968,0.172830,23.2461,intact,0.0
0.056465,0.164049,0.063231,0.159196,8.3268,intact,0.0
0.075792,0.126217,0.067948,0.127017,7.8843,intact,0.0
0.164192,0.036592,0.169365,0.061920,25.8506,intact,0.0
0.146531,0.147584,0.155268,0.149689,8.9870,intact,0.0
0.051917,0.236089,0.069602,0.223763,21.5566,intact,0.0
0.071073,0.100684,0.069529,0.099419,1.9963,intact,0.0
0.138502,0.072614,0.135908,0.075922,4.2035,intact,0.0
0.165394,0.099027,0.169428,0.092236,7.8989,intact,0.0
0.224600,0.192861,0.230926,0.197380,7.7737,intact,0.0
0.220723,0.192032,0.233126,0.190933,12.4513,intact,0.0
0.056347,0.049778,0.067722,0.078897,31.2620,intact,0.0
0.193785,0.142485,0.204615,0.150675,13.5782,intact,0.0
0.203343,0.222990,0.215390,0.219581,12.5203,intact,0.0
0.256231,0.201924,0.239409,0.197779,17.3251,intact,0.0
0.194560,0.179948,0.214707,0.183499,20.4575,intact,0.0
0.106208,0.155375,0.092543,0.155181,13.6663,intact,0.0
0.194728,0.094953,0.203634,0.094817,8.9072,intact,0.0
0.140702,0.122917,0.139696,0.118931,4.1116,intact,0.0
0.269225,0.145399,0.239546,0.149227,29.9248,intact,0.0
0.158905,0.087013,0.158514,0.091470,4.4742,loose_25,25.0
0.183544,0.121528,0.192447,0.119077,9.2338,loose_25,25.0
0.151168,0.179015,0.155838,0.191980,13.7800,loose_25,25.0
0.101877,0.144638,0.084175,0.138182,18.8424,loose_25,25.0
0.135425,0.263344,0.133357,0.239865,23.5695,loose_25,25.0
0.163321,0.073275,0.159257,0.073957,4.1204,loose_25,25.0
0.256685,0.072656,0.228723,0.093276,34.7423,loose_25,25.0
0.173055,0.166514,0.177910,0.170332,6.1767,loose_25,25.0
0.190736,0.112243,0.198526,0.106270,9.8168,loose_25,25.0
0.160941,0.202362,0.169357,0.199158,9.0054,loose_25,25.0
0.157388,0.070801,0.164856,0.076282,9.2633,loose_25,25.0
0.043848,0.193547,0.059426,0.190626,15.8498,loose_25,25.0
0.189011,0.216260,0.202707,0.211441,14.5186,loose_25,25.0
0.151963,0.118839,0.150551,0.115916,3.2462,loose_25,25.0
0.179166,0.197846,0.192113,0.202757,13.8469,loose_25,25.0
0.212013,0.124816,0.220897,0.119382,10.4142,loose_25,25.0
0.242036,0.103776,0.229519,0.103979,12.5183,loose_25,25.0
0.201768,0.186130,0.208007,0.185073,6.3278,loose_25,25.0
0.086328,0.182624,0.080105,0.187722,8.0440,loose_25,25.0
0.134413,0.052710,0.124891,0.067441,17.5407,loose_25,25.0
0.166288,0.185118,0.192703,0.184088,26.4356,loose_50,50.0
0.153617,0.120233,0.171324,0.121626,17.7621,loose_50,50.0
0.023133,0.218385,0.064696,0.205862,43.4081,loose_50,50.0
0.174051,0.164575,0.181956,0.165300,7.9379,loose_50,50.0
0.189480,0.140443,0.205040,0.151133,18.8789,loose_50,50.0
0.272252,0.255535,0.233214,0.222822,50.9327,loose_50,50.0
0.129182,0.129987,0.124398,0.127162,5.5560,loose_50,50.0
0.138273,0.127622,0.147050,0.115744,14.7691,loose_50,50.0
0.046727,0.143506,0.056738,0.138839,11.0455,loose_50,50.0
0.182667,0.132489,0.192039,0.119109,16.3357,loose_50,50.0
0.177398,0.150098,0.196293,0.157701,20.3676,loose_50,50.0
0.153616,0.126616,0.151101,0.126138,2.5598,loose_50,50.0
0.130649,0.150790,0.123890,0.141847,11.2096,loose_50,50.0
0.163894,0.174951,0.163294,0.172665,2.3633,loose_50,50.0
0.147544,0.126441,0.138718,0.127340,8.8715,loose_50,50.0
0.128972,0.147921,0.124563,0.140460,8.6657,loose_50,50.0
0.155630,0.139722,0.155401,0.141464,1.7573,loose_50,50.0
0.123149,0.137368,0.101764,0.127788,23.4333,loose_50,50.0
0.140806,0.174255,0.140435,0.169646,4.6237,loose_50,50.0
0.165053,0.126948,0.164611,0.131612,4.6852,loose_50,50.0
